id,Zip,Price,Price of square meter,Building Cond. values,Number of facades,Number of rooms,Living area,Furnished,Kitchen values,Surface of the land,Primary energy consumption,Energy_classes,Terrace,Terrace surface,Garden,Garden surface,Open fire,Swimming pool
10589149,1030,390000,3391.3,3.0,2.0,2.0,115.0,0.0,3.0,,272.0,5,1,7.0,1,105.0,0.0,0.0
10588500,1080,1490000,4071.04,4.0,4.0,3.0,366.0,0.0,3.0,,97.0,7,1,114.0,0,0.0,0.0,0.0
10595037,1495,250000,2173.91,3.0,3.0,2.0,115.0,0.0,1.0,,218.0,5,0,0.0,0,0.0,0.0,0.0
10583368,1435,374000,2493.33,4.0,4.0,2.0,150.0,0.0,3.0,,122.0,6,1,8.0,1,80.0,0.0,0.0
10583186,1341,415000,2985.61,4.0,4.0,2.0,139.0,0.0,3.0,,116.0,6,1,44.0,0,0.0,0.0,0.0
10583369,1435,465000,3576.92,4.0,4.0,2.0,130.0,0.0,3.0,,122.0,6,1,8.0,1,80.0,0.0,0.0
10463775,1180,1650000,7021.28,4.0,2.0,3.0,235.0,0.0,3.0,,62.0,7,1,237.0,0,0.0,0.0,0.0
10587647,2600,199500,2660.0,3.0,4.0,2.0,75.0,0.0,1.0,,128.0,6,1,4.0,0,0.0,0.0,0.0
10587682,6700,228000,2400.0,3.0,,1.0,95.0,0.0,2.0,,231.0,5,0,0.0,0,0.0,0.0,0.0
10586373,1000,237500,4398.15,3.0,2.0,1.0,54.0,1.0,3.0,,200.0,5,1,3.0,0,0.0,0.0,0.0
10586372,1000,285000,3800.0,3.0,4.0,2.0,75.0,1.0,1.0,,491.0,3,1,17.0,0,0.0,0.0,0.0
10585383,9300,298000,2733.94,3.0,2.0,3.0,109.0,0.0,3.0,,142.0,6,1,,0,0.0,0.0,0.0
10585368,6700,379000,3383.93,3.0,2.0,2.0,112.0,0.0,1.0,,83.0,7,1,10.0,0,0.0,0.0,0.0
10586195,1160,399000,4433.33,3.0,2.0,2.0,90.0,0.0,3.0,,228.0,5,1,6.0,0,0.0,0.0,0.0
10586904,1180,399000,2850.0,1.0,3.0,3.0,140.0,0.0,1.0,,177.0,6,1,5.0,0,0.0,0.0,0.0
10594682,1330,280000,4000.0,3.0,,1.0,70.0,0.0,1.0,,329.0,4,1,,0,0.0,0.0,0.0
10580345,1348,374000,2493.33,4.0,4.0,2.0,150.0,0.0,3.0,,122.0,6,1,8.0,1,80.0,0.0,0.0
10580343,1348,465000,3576.92,4.0,4.0,2.0,130.0,0.0,3.0,,122.0,6,1,8.0,1,80.0,0.0,0.0
10571431,1090,315000,3150.0,3.0,2.0,2.0,100.0,0.0,3.0,,73.0,7,0,0.0,0,0.0,0.0,0.0
10583741,4500,169000,1742.27,3.0,,3.0,97.0,0.0,2.0,,275.0,5,1,8.0,0,0.0,0.0,0.0
10485647,2830,195000,1857.14,1.0,2.0,3.0,105.0,0.0,2.0,,391.0,4,1,8.0,0,0.0,0.0,0.0
10485645,2830,195000,1857.14,1.0,2.0,3.0,105.0,0.0,2.0,,391.0,4,1,8.0,0,0.0,0.0,0.0
10584259,1030,199000,2369.05,2.0,2.0,1.0,84.0,0.0,0.0,,514.0,2,1,2.0,0,0.0,0.0,0.0
10583624,4470,235000,2350.0,3.0,4.0,3.0,100.0,0.0,1.0,,112.0,6,1,6.0,0,0.0,0.0,0.0
10583725,2500,250000,2358.49,3.0,2.0,2.0,106.0,0.0,2.0,,135.0,6,1,,0,0.0,0.0,0.0
10583985,8370,260000,4062.5,3.0,2.0,2.0,64.0,1.0,1.0,,571.0,2,0,0.0,0,0.0,0.0,0.0
10518610,1030,265000,3117.65,2.0,3.0,2.0,85.0,0.0,2.0,,422.0,3,0,0.0,0,0.0,0.0,0.0
10584374,9070,299000,2875.0,3.0,2.0,2.0,104.0,0.0,2.0,,156.0,6,0,0.0,0,0.0,0.0,0.0
10584372,9070,299000,2875.0,3.0,2.0,2.0,104.0,0.0,2.0,,156.0,6,0,0.0,0,0.0,0.0,0.0
10582799,1180,399000,3325.0,1.0,2.0,3.0,120.0,0.0,0.0,,84.0,7,1,9.0,0,0.0,0.0,0.0
10582989,1050,545000,5000.0,3.0,2.0,2.0,109.0,0.0,3.0,,106.0,6,0,0.0,0,0.0,0.0,0.0
10523271,1180,775000,4036.46,4.0,3.0,3.0,192.0,0.0,3.0,,192.0,6,1,25.0,1,1000.0,0.0,0.0
10593482,1140,280000,3333.33,4.0,2.0,1.0,84.0,0.0,3.0,,50.0,7,1,4.0,0,0.0,0.0,0.0
10593813,1180,355000,3585.86,3.0,3.0,2.0,99.0,0.0,1.0,,255.0,5,1,14.0,0,0.0,0.0,0.0
10593436,1160,375000,3409.09,1.0,2.0,2.0,110.0,0.0,,,155.0,6,1,9.0,0,0.0,0.0,0.0
10580273,9600,187500,2568.49,4.0,2.0,1.0,73.0,0.0,1.0,,83.0,7,1,,0,0.0,0.0,0.0
10579624,1050,348000,4192.77,2.0,,1.0,83.0,0.0,3.0,,196.0,6,0,0.0,0,0.0,0.0,0.0
10580224,1140,365000,4562.5,4.0,2.0,2.0,80.0,0.0,1.0,,165.0,6,1,10.0,0,0.0,0.0,0.0
10580749,1040,835000,5719.18,3.0,2.0,2.0,146.0,1.0,3.0,,141.0,6,1,8.0,0,0.0,1.0,0.0
10593603,1700,215000,2471.26,4.0,2.0,1.0,87.0,0.0,3.0,,11029.0,1,1,14.0,0,0.0,0.0,0.0
10593605,1700,299000,2533.9,4.0,2.0,2.0,118.0,0.0,3.0,,123.0,6,1,13.0,0,0.0,0.0,0.0
10593604,1700,330000,2578.12,4.0,2.0,2.0,128.0,1.0,3.0,,11008.0,1,1,26.0,0,0.0,0.0,0.0
10591086,1030,189000,2907.69,2.0,2.0,1.0,65.0,0.0,2.0,,329.0,4,0,0.0,0,0.0,0.0,0.0
10590367,1020,210000,3000.0,3.0,2.0,1.0,70.0,0.0,2.0,,152.0,6,1,10.0,0,0.0,0.0,0.0
10590438,1853,225000,3000.0,4.0,,2.0,75.0,0.0,3.0,,345.0,4,0,0.0,0,0.0,0.0,0.0
10592446,2930,229500,2390.62,3.0,2.0,2.0,96.0,0.0,2.0,,131.0,6,1,6.0,0,0.0,0.0,0.0
10591732,2850,269000,2204.92,3.0,,3.0,122.0,0.0,1.0,,155.0,6,1,,0,0.0,0.0,0.0
