,id,Zip,Price,Price of square meter,Living area,Number of rooms,Furnished,Garden surface,Terrace surface,Open fire,Building Cond. values,Kitchen values,Primary energy consumption,Energy efficiency
47,10593603,1700,215000,2471.26,87.0,1.0,0.0,0.0,14.0,0.0,4.0,3.0,110.0,6.0
48,10593605,1700,299000,2533.9,118.0,2.0,0.0,0.0,13.0,0.0,4.0,3.0,123.0,6.0
49,10591086,1030,189000,2907.69,65.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,329.0,4.0
50,10590367,1020,210000,3000.0,70.0,1.0,0.0,0.0,10.0,0.0,3.0,2.0,152.0,6.0
51,10590438,1853,225000,3000.0,75.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,345.0,4.0
52,10592446,2930,229500,2390.62,96.0,2.0,0.0,0.0,6.0,0.0,3.0,2.0,131.0,6.0
53,10590369,1020,270000,2347.83,115.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,715.0,1.0
54,10590583,1200,285000,3750.0,76.0,2.0,0.0,0.0,15.0,0.0,4.0,3.0,281.0,5.0
55,10590366,1060,300000,3409.09,88.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,496.0,3.0
56,10592481,1160,315000,4632.35,68.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,136.0,6.0
57,10590368,1200,330000,3333.33,99.0,2.0,0.0,0.0,6.0,0.0,2.0,2.0,165.0,6.0
58,10590370,1200,345000,3484.85,99.0,2.0,0.0,100.0,15.0,0.0,2.0,2.0,282.0,5.0
59,10590667,9000,435000,4350.0,100.0,2.0,0.0,0.0,2.0,0.0,4.0,3.0,182.0,6.0
60,10591087,1180,449000,4317.31,104.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,314.0,4.0
61,10578160,1200,540000,4500.0,120.0,2.0,0.0,0.0,10.0,0.0,4.0,3.0,73.0,7.0
62,10594528,9400,199000,2211.11,90.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,418.0,3.0
63,10550578,1040,195000,4756.1,41.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,308.0,4.0
64,10177393,1000,675000,6887.76,98.0,1.0,0.0,0.0,9.0,0.0,4.0,3.0,57.0,7.0
65,10454955,1050,1839000,9059.11,203.0,3.0,0.0,0.0,76.0,0.0,4.0,3.0,63.0,7.0
66,10590882,1070,324457,3451.67,94.0,2.0,0.0,0.0,7.0,0.0,4.0,3.0,45.0,7.0
67,10590880,1070,354385,3136.15,113.0,3.0,0.0,0.0,7.0,0.0,4.0,3.0,45.0,7.0
68,10590881,1070,440000,3893.81,113.0,3.0,0.0,23.0,28.0,0.0,4.0,3.0,45.0,7.0
69,10589931,1620,280000,3373.49,83.0,2.0,0.0,0.0,19.0,0.0,3.0,1.0,139.0,6.0
70,10588134,1083,290000,2929.29,99.0,2.0,0.0,0.0,8.0,0.0,3.0,3.0,322.0,4.0
71,10590046,8000,325000,4513.89,72.0,1.0,0.0,0.0,5.0,0.0,4.0,3.0,131.0,6.0
72,10587908,1040,450000,5172.41,87.0,2.0,0.0,0.0,3.0,0.0,4.0,3.0,149.0,6.0
73,10590003,1200,595000,3966.67,150.0,4.0,0.0,0.0,9.0,0.0,3.0,3.0,104.0,6.0
74,10552637,1140,230000,2705.88,85.0,2.0,0.0,0.0,13.0,0.0,3.0,1.0,184.0,6.0
75,10593513,2018,595000,3718.75,160.0,2.0,0.0,0.0,74.0,0.0,3.0,1.0,167.0,6.0
76,10578364,4280,135000,2700.0,50.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,320.0,4.0
77,10578707,1060,239000,4780.0,50.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,212.0,5.0
78,10307289,3010,299000,2902.91,103.0,2.0,0.0,0.0,30.0,0.0,3.0,2.0,238.0,5.0
79,10578166,1150,329000,3463.16,95.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,219.0,5.0
80,10578371,1000,985000,4457.01,221.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,121.0,6.0
81,10588434,1180,425000,5902.78,72.0,1.0,0.0,0.0,5.0,0.0,4.0,3.0,55.0,7.0
82,10588176,1000,499000,6160.49,81.0,1.0,0.0,0.0,9.0,0.0,4.0,2.0,45.0,7.0
83,10588444,1180,635000,5619.47,113.0,2.0,0.0,0.0,8.0,0.0,4.0,3.0,55.0,7.0
84,10585245,1020,235000,2611.11,90.0,2.0,0.0,0.0,7.0,0.0,3.0,0.0,185.0,6.0
85,10586999,1040,260000,3561.64,73.0,1.0,0.0,0.0,8.0,0.0,1.0,3.0,850.0,1.0
86,10512911,1140,329000,3391.75,97.0,2.0,0.0,0.0,5.0,0.0,3.0,1.0,102.0,6.0
87,10587331,1180,365000,3842.11,95.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,126.0,6.0
88,10587330,1180,455000,4333.33,105.0,3.0,0.0,0.0,16.0,0.0,4.0,3.0,132.0,6.0
89,10587336,1000,1050000,4565.22,230.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,194.0,6.0
90,10591139,1000,299000,3646.34,82.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,149.0,6.0
91,10576932,1120,249000,3036.59,82.0,2.0,0.0,0.0,6.0,0.0,3.0,1.0,685.0,1.0
92,10577928,1180,320000,3636.36,88.0,2.0,0.0,0.0,8.0,0.0,4.0,3.0,317.0,4.0
93,10597087,4820,139000,1544.44,90.0,2.0,0.0,0.0,32.0,0.0,3.0,1.0,267.0,5.0
94,10584152,1080,190000,2435.9,78.0,2.0,0.0,0.0,8.0,0.0,1.0,2.0,167.0,6.0
95,10465613,1070,199000,2313.95,86.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,396.0,4.0
96,10584165,1140,219000,3128.57,70.0,2.0,0.0,0.0,3.0,0.0,4.0,1.0,172.0,6.0
97,10584164,1140,219000,3128.57,70.0,2.0,0.0,0.0,3.0,0.0,4.0,1.0,155.0,6.0
98,10572916,1420,335000,3252.43,103.0,2.0,0.0,0.0,7.0,0.0,4.0,3.0,93.0,7.0
99,10584442,2060,365000,5214.29,70.0,2.0,0.0,0.0,35.0,0.0,3.0,3.0,120.0,6.0
100,10582149,1200,425000,3971.96,107.0,2.0,0.0,0.0,27.0,0.0,2.0,1.0,542.0,2.0
101,10572661,1200,540000,4500.0,120.0,3.0,0.0,0.0,10.0,0.0,4.0,3.0,73.0,7.0
102,10590076,1060,590000,6413.04,92.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,61.0,7.0
