,id,Zip,Price,Price of square meter,Living area,Number of rooms,Furnished,Garden surface,Terrace surface,Open fire,Building Cond. values,Kitchen values,Primary energy consumption,Energy efficiency
84,10547302,9890,265000,3486.84,76,1,0,0,11,0,4,3,308,7
85,10564929,1030,275000,2894.74,95,2,0,0,14,0,3,3,204,5
86,10547319,9890,311000,3206.19,97,2,0,0,10,0,4,3,272,7
87,10547317,9890,323500,3335.05,97,2,0,0,10,0,4,3,272,7
88,10562978,1880,335000,3526.32,95,2,0,0,32,0,3,2,126,6
89,10547318,9890,351000,3133.93,112,3,0,0,10,0,4,3,272,7
90,10547313,9890,355000,3198.2,111,3,0,0,10,0,4,3,272,7
91,10547312,9890,355000,3227.27,110,2,0,0,10,0,4,3,272,7
92,10547304,9890,356000,3095.65,115,3,0,0,11,0,4,3,267,7
93,10547310,9890,361000,2865.08,126,2,0,0,11,0,4,3,267,7
94,10547306,9890,366000,2904.76,126,3,0,0,11,0,4,3,267,7
95,10547300,9890,405000,2454.55,165,2,0,0,11,0,4,3,259,7
96,10547322,9890,421000,2883.56,146,3,0,0,11,0,4,3,267,7
97,10547320,9890,426000,2878.38,148,3,0,0,11,0,4,3,267,7
98,10177393,1000,675000,6887.76,98,1,0,0,9,0,4,3,57,7
99,10563944,8300,795000,9352.94,85,2,1,95,17,0,3,3,173,6
100,10312225,1050,1450000,6444.44,225,4,0,0,55,1,3,3,589,2
101,10328618,1180,1450000,6444.44,225,4,0,0,55,1,3,3,118,6
102,10388123,1050,1537000,9606.25,160,2,0,0,91,0,4,3,63,7
103,10454955,1050,1839000,9059.11,203,3,0,0,76,0,4,3,63,7
104,10579029,1000,495000,4125.0,120,3,0,0,3,0,3,1,187,5
105,10572432,4650,330000,1793.48,184,3,0,0,0,0,4,1,158,6
106,10572660,1000,340000,3238.1,105,2,0,0,6,0,4,3,41,7
107,10572658,1000,560000,3758.39,149,3,0,0,36,0,4,3,44,7
108,10570732,1050,120000,4800.0,25,1,0,0,0,0,2,1,282,5
109,10572149,1050,190000,4318.18,44,1,1,0,0,0,3,2,285,5
110,10571419,1070,225000,2647.06,85,2,0,0,8,0,4,3,202,5
111,10571907,2900,235000,2473.68,95,2,0,0,2,0,2,2,243,5
112,10492367,1400,239000,2414.14,99,2,0,0,9,0,3,1,198,6
113,10569851,1200,250000,3378.38,74,2,0,0,17,0,1,2,221,5
114,10558626,1000,279000,3770.27,74,1,0,0,8,0,4,1,40,7
115,10570291,1090,299000,3737.5,80,2,0,0,11,0,4,1,74,7
116,10558634,1000,321000,3489.13,92,2,0,0,0,0,4,3,33,7
117,10558643,1000,326000,4024.69,81,2,0,0,6,0,4,1,45,7
118,10558627,1000,360000,3636.36,99,2,0,0,10,0,4,1,44,7
119,10558628,1000,361000,3923.91,92,2,0,0,8,0,4,3,44,7
120,10569940,1050,380000,5135.14,74,1,0,0,10,0,3,1,325,4
121,10374224,9050,449000,4008.93,112,3,1,0,17,0,4,1,58,7
122,10558630,1000,484000,3841.27,126,3,0,0,13,0,4,3,44,7
123,10569830,1170,495000,3278.15,151,4,0,0,28,0,2,1,127,6
124,10570304,1000,530000,3581.08,148,2,0,0,13,0,4,3,159,6
125,10570994,1000,1050000,4565.22,230,3,0,0,0,0,4,3,194,6
126,10560489,2870,172000,2324.32,74,1,0,0,0,0,3,1,187,6
127,10561833,8792,235000,2303.92,102,2,0,0,16,0,3,3,99,7
128,10562286,8370,285000,3958.33,72,2,1,0,10,0,3,1,122,6
129,10561388,1200,295000,3138.3,94,2,0,0,5,0,4,1,427,3
130,10561327,4020,375000,1752.34,214,3,0,0,0,0,2,0,380,4
131,10567502,1030,175000,4268.29,41,2,0,0,0,0,3,1,740,1
132,10567496,1140,299000,3180.85,94,3,0,0,15,0,3,3,170,6
133,10567406,1060,350000,3846.15,91,2,0,0,0,0,4,3,283,5
134,10569452,9000,370000,4567.9,81,2,0,0,10,0,4,1,77,7
135,10567508,1050,580000,4027.78,144,3,0,0,2,0,3,3,295,5
136,10567498,1050,730000,3443.4,212,4,0,0,16,0,3,1,332,4
137,10567501,1060,730000,3443.4,212,4,0,0,16,0,3,1,332,4
138,10567435,3020,775000,3003.88,258,2,1,0,18,0,3,3,82,7
139,10575832,1160,511500,5014.71,102,2,0,0,25,0,4,3,40,7
140,10573869,2830,369000,3690.0,100,2,0,0,10,0,3,3,121,6
141,10573837,1000,479000,3801.59,126,3,0,0,27,0,3,3,240,5
142,10557731,4820,99000,1053.19,94,2,0,0,14,0,3,1,389,4
143,10560083,9600,159000,1892.86,84,2,0,0,12,0,3,1,174,6
144,10558971,1080,180000,4186.05,43,2,0,0,5,0,4,3,113,6
145,10557727,4680,219000,1972.97,111,3,0,200,0,0,3,1,97,7
146,10559875,9600,219000,1752.0,125,2,0,0,0,0,3,2,132,6
147,10558961,9520,220000,2750.0,80,1,0,0,14,0,2,1,126,6
148,10558858,1200,230000,3026.32,76,1,0,0,2,0,3,2,233,5
149,10559003,9230,230000,2090.91,110,2,0,0,10,0,3,1,256,5
150,10557389,9900,235000,3012.82,78,1,0,0,0,0,3,1,124,6
151,10557387,9300,245000,4711.54,52,1,0,0,10,0,4,3,102,6
152,10556882,2600,249000,2263.64,110,3,0,0,6,0,1,2,234,5
153,10568408,9800,245000,4016.39,61,1,0,0,10,0,4,3,241,7
154,10568414,9800,325000,3421.05,95,2,0,0,16,0,4,3,181,7
155,10568407,9800,370000,3854.17,96,2,0,0,15,0,4,3,181,7
156,10568416,9800,415000,5060.98,82,2,0,0,29,0,4,3,181,7
157,10570056,6900,249500,2376.19,105,2,0,12458,25,0,4,3,374,4
158,10571431,1090,345000,3450.0,100,2,0,0,0,0,3,3,73,7
159,10571909,1050,850000,2428.57,350,7,0,37,0,0,3,1,377,4
160,10556350,2000,115000,7187.5,16,1,0,0,0,0,4,2,92,7
161,10554904,1480,179000,2934.43,61,1,0,0,4,0,3,3,273,5
162,10555817,4340,189000,3500.0,54,1,0,0,0,0,3,1,114,6
163,10556661,9200,199500,2293.1,87,1,0,0,0,0,3,1,202,5
164,10485647,2830,225000,2142.86,105,3,0,0,8,0,1,2,391,4
165,10485645,2830,225000,2142.86,105,3,0,0,8,0,1,2,391,4
166,10555676,4340,239500,1871.09,128,2,0,0,5,0,3,1,144,6
167,10554926,1700,270000,2571.43,105,2,0,0,5,0,3,3,478,3
168,10554732,1200,285000,2908.16,98,3,0,0,22,0,2,2,520,2
169,10555669,3020,350000,3043.48,115,2,0,0,12,0,3,1,202,5
170,10555668,3020,355000,2862.9,124,3,0,0,5,0,3,2,373,4
171,10555122,1140,395000,3989.9,99,2,0,0,7,0,4,3,109,6
172,10554731,1200,449000,3207.14,140,3,0,0,0,0,1,2,257,5
173,10554993,9000,545000,2994.51,182,4,0,0,0,0,3,1,116,6
174,10509157,1040,209000,4354.17,48,1,0,0,0,0,4,3,171,5
175,10572050,9800,250000,3968.25,63,1,0,6,10,0,4,3,247,7
176,10572064,9750,419990,3181.74,132,3,0,120,29,0,4,1,247,7
177,10572065,9770,419990,3181.74,132,3,0,120,29,0,4,1,247,7
178,10572063,9800,419990,3181.74,132,3,0,120,29,0,4,1,247,7
179,10572062,9870,419990,3181.74,132,3,0,120,29,0,4,1,247,7
180,10568340,2620,269000,2490.74,108,3,0,0,4,0,3,1,250,5
181,10567504,1050,650000,6190.48,105,2,0,0,13,0,4,3,100,6
182,10553221,1800,565000,2456.52,230,3,0,0,38,0,3,3,111,6
183,10553220,1800,565000,2456.52,230,3,0,0,38,0,3,3,111,6
184,10553219,1800,565000,2456.52,230,3,0,0,38,0,3,3,111,6
185,10553218,1800,565000,2456.52,230,3,0,0,38,0,3,3,111,6
186,10553206,1800,565000,2456.52,230,3,0,0,38,0,3,3,111,6
187,10577544,1030,335000,3350.0,100,3,0,0,10,0,2,2,271,5
188,10577523,1200,395000,3211.38,123,3,0,0,42,0,3,1,223,5
189,10562911,1470,150000,2054.79,73,2,0,0,0,0,2,2,418,3
190,10565294,2800,168000,2333.33,72,2,0,0,9,0,1,1,170,6
191,10562914,1083,169000,2964.91,57,1,0,0,2,0,3,2,783,1
192,10352089,9700,198000,3535.71,56,1,0,0,11,0,4,1,90,7
193,10550931,7333,215000,2415.73,89,2,0,0,4,0,4,0,57,7
194,10564522,2850,229000,2792.68,82,2,0,0,3,0,3,2,241,5
195,10562910,1420,239000,2078.26,115,3,0,0,2,0,1,2,351,4
196,10563065,2660,239000,2390.0,100,3,0,0,26,0,4,2,409,3
197,10209483,7333,240000,2474.23,97,2,0,0,30,0,4,0,91,7
198,10564858,1070,249000,2371.43,105,3,0,0,7,0,3,1,254,5
199,10467819,1000,275000,5851.06,47,1,0,0,6,0,4,3,46,7
200,10407283,1410,297000,5120.69,58,1,0,0,7,0,4,3,214,7
201,10445346,1300,299000,3646.34,82,1,0,0,19,0,4,3,62,7
202,10442278,1300,299000,3646.34,82,1,0,0,18,0,4,3,93,7
